signal_id	file	page_guess	signal_type	excerpt	note
SIG-000110	SOURCE_CANON/step3_canonical/page-0048.txt	0048	KOLOM_STRUCTUUR_ONZEKER	| 6	separator-like line
SIG-000111	SOURCE_CANON/step3_canonical/page-0048.txt	0048	KOLOM_STRUCTUUR_ONZEKER	untuk diberikan pada baji. |	separator-like line
SIG-000112	SOURCE_CANON/step3_canonical/page-0048.txt	0048	REFERENTIE_ZONDER_DOEL	Bagian2 daging ajam dapat dilihat pada gambar dibawah ini:	reference word without nearby table markers
SIG-000113	SOURCE_CANON/step3_canonical/page-0049.txt	0049	ABRUPTE_START	l u	first non-empty line starts with lowercase
SIG-000114	SOURCE_CANON/step3_canonical/page-0049.txt	0049	ABRUPT_END	42 MUSTIKARASA	last non-empty line lacks terminal punctuation
SIG-000115	SOURCE_CANON/step3_canonical/page-0049.txt	0049	KOLOM_STRUCTUUR_ONZEKER	'._,-__- r ..4_.- .' :_:-__ _._?_-_. ._-._ 0re .:. :,-"_.- . ...'. A ;__ Da .. -	separator-like line
SIG-000116	SOURCE_CANON/step3_canonical/page-0050.txt	0050	ABRUPT_END	RESEP MASAKAN INDONESIA WARISANSUKARNO 43	last non-empty line lacks terminal punctuation
SIG-000117	SOURCE_CANON/step3_canonical/page-0050.txt	0050	KOLOM_STRUCTUUR_ONZEKER	l v , 6 -* | 1	separator-like line
SIG-000118	SOURCE_CANON/step3_canonical/page-0050.txt	0050	KOLOM_STRUCTUUR_ONZEKER	x | L 8. paha	separator-like line
SIG-000119	SOURCE_CANON/step3_canonical/page-0051.txt	0051	ABRUPT_END	44 MUSTIKARASA	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000120	SOURCE_CANON/step3_canonical/page-0051.txt	0051	REFERENTIE_ZONDER_DOEL	dengan tjuka dan dibakar tjepat2 diatas api untuk menghilangkan	reference word without nearby table markers
SIG-000121	SOURCE_CANON/step3_canonical/page-0051.txt	0051	REFERENTIE_ZONDER_DOEL	1. isi perut dikeluarkan dari bagian belakang dibawah anus.	reference word without nearby table markers
SIG-000122	SOURCE_CANON/step3_canonical/page-0051.txt	0051	KOLOM_STRUCTUUR_ONZEKER	Golongan VIII : Air susu. |	separator-like line
SIG-000123	SOURCE_CANON/step3_canonical/page-0052.txt	0052	ABRUPTE_START	dapat memakan makanan lain. Oleh karena itu, susu mengandung zat?	first non-empty line starts with lowercase
SIG-000124	SOURCE_CANON/step3_canonical/page-0052.txt	0052	ABRUPT_END	RESEP MASAKAN INDONESIA WARISANSUKARNO 45	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000125	SOURCE_CANON/step3_canonical/page-0052.txt	0052	REFERENTIE_ZONDER_DOEL	ada pada susu ditjantumkan dalam daftar berikut :	reference word without nearby table markers
SIG-000126	SOURCE_CANON/step3_canonical/page-0052.txt	0052	KOLOM_STRUCTUUR_ONZEKER	Matjam susu | p k g	separator-like line
SIG-000127	SOURCE_CANON/step3_canonical/page-0052.txt	0052	HOEVEELHEID_ARTEFACT	5 £ 5 . 1 5 0 Y	currency symbol near number
SIG-000128	SOURCE_CANON/step3_canonical/page-0053.txt	0053	ABRUPTE_START	tinggal baik beberapa djam sadja, sedang ditempat jang dingin ia dapat	first non-empty line starts with lowercase
SIG-000129	SOURCE_CANON/step3_canonical/page-0053.txt	0053	ABRUPT_END	40 MUSTIKARASA	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000130	SOURCE_CANON/step3_canonical/page-0054.txt	0054	ABRUPTE_START	d. Telur entog warnanja hampir putih, kulitnja litjin, besarnja sama	first non-empty line starts with lowercase
SIG-000131	SOURCE_CANON/step3_canonical/page-0054.txt	0054	ABRUPT_END	RESEP MASAKAN INDONESIA WARISAN SUKARNO 47	last non-empty line lacks terminal punctuation
SIG-000132	SOURCE_CANON/step3_canonical/page-0054.txt	0054	REFERENTIE_ZONDER_DOEL	Perbedaan antara ke dua djenis telur itu ada sebagai berikut :	reference word without nearby table markers
SIG-000133	SOURCE_CANON/step3_canonical/page-0055.txt	0055	ABRUPT_END	48 MUSTIKARASA	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000134	SOURCE_CANON/step3_canonical/page-0056.txt	0056	ABRUPTE_START	darat, dagingnja tidak begitu padat, lebih banjak mengandung air dalam	first non-empty line starts with lowercase
SIG-000135	SOURCE_CANON/step3_canonical/page-0056.txt	0056	ABRUPT_END	RESEP MASAKAN INDONESIA WARISAN SUKARNO 49	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000136	SOURCE_CANON/step3_canonical/page-0057.txt	0057	ABRUPTE_START	sirip belakang berwarna kuning, dan bluefin tuna kalau warna	first non-empty line starts with lowercase
SIG-000137	SOURCE_CANON/step3_canonical/page-0057.txt	0057	ABRUPT_END	50 MUSTIKARASA	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000138	SOURCE_CANON/step3_canonical/page-0058.txt	0058	ABRUPTE_START	banjak dipelihara di-empang?2 sekitar Djakarta dan Bogor. Pemakan	first non-empty line starts with lowercase
SIG-000139	SOURCE_CANON/step3_canonical/page-0058.txt	0058	ABRUPT_END	RESEP MASAKAN INDONESIA WARISAN SUKARNO $I	last non-empty line lacks terminal punctuation
SIG-000140	SOURCE_CANON/step3_canonical/page-0059.txt	0059	ABRUPT_END	$2 MUSTIKARASA	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000141	SOURCE_CANON/step3_canonical/page-0060.txt	0060	ABRUPTE_START	diasin. Banjak didatangkan dari Muangtai dengan nama piung	first non-empty line starts with lowercase
SIG-000142	SOURCE_CANON/step3_canonical/page-0060.txt	0060	ABRUPT_END	RESEP MASAKAN INDONESIA WARISANSUKARNO 53	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000143	SOURCE_CANON/step3_canonical/page-0060.txt	0060	REFERENTIE_ZONDER_DOEL	hingga bersih betul, dari ekor kearah kepala (lihat gambar).	reference word without nearby table markers
SIG-000144	SOURCE_CANON/step3_canonical/page-0060.txt	0060	REFERENTIE_ZONDER_DOEL	b. dibelek djalur hitam diatas punggung ikan dan dibuang djalur itu	reference word without nearby table markers
SIG-000145	SOURCE_CANON/step3_canonical/page-0061.txt	0061	ABRUPTE_START	a / , ,	first non-empty line starts with lowercase
SIG-000146	SOURCE_CANON/step3_canonical/page-0061.txt	0061	ABRUPT_END	54 MUSTIKARASA	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000147	SOURCE_CANON/step3_canonical/page-0061.txt	0061	KOLOM_STRUCTUUR_ONZEKER	_..f......, ..'_-.__'_'cl ) A —"-" Ke Ma a '.”',:',J:)'. p WP AMEI AA d _p//, p	separator-like line
SIG-000148	SOURCE_CANON/step3_canonical/page-0061.txt	0061	KOLOM_STRUCTUUR_ONZEKER	_.: 0! WN | 4 8	separator-like line
SIG-000149	SOURCE_CANON/step3_canonical/page-0062.txt	0062	ABRUPTE_START	c. udang ketjil, dibuang kepala dan direbus selama 3 menit dalam	first non-empty line starts with lowercase
SIG-000150	SOURCE_CANON/step3_canonical/page-0062.txt	0062	ABRUPT_END	RESEP MASAKAN INDONESIA WARISAN SUKARNO 55	last non-empty line lacks terminal punctuation
SIG-000151	SOURCE_CANON/step3_canonical/page-0063.txt	0063	ABRUPT_END	56 MUSTIKARASA	last non-empty line lacks terminal punctuation
SIG-000152	SOURCE_CANON/step3_canonical/page-0063.txt	0063	KOLOM_STRUCTUUR_ONZEKER	| A % '._k'.	separator-like line
SIG-000153	SOURCE_CANON/step3_canonical/page-0063.txt	0063	KOLOM_STRUCTUUR_ONZEKER	. |	separator-like line
SIG-000154	SOURCE_CANON/step3_canonical/page-0063.txt	0063	KOLOM_STRUCTUUR_ONZEKER	i . " | n i .	separator-like line
SIG-000155	SOURCE_CANON/step3_canonical/page-0064.txt	0064	ABRUPT_END	RESEP MASAKAN INDONESIA WARISAN SUKARNO 57	last non-empty line lacks terminal punctuation
SIG-000156	SOURCE_CANON/step3_canonical/page-0065.txt	0065	ABRUPT_END	58 MUSTIKARASA	last non-empty line lacks terminal punctuation
SIG-000157	SOURCE_CANON/step3_canonical/page-0065.txt	0065	REFERENTIE_ZONDER_DOEL	jang besar2. Kwalitas dari gula pasir ini ada sebagai berikut :	reference word without nearby table markers
SIG-000158	SOURCE_CANON/step3_canonical/page-0066.txt	0066	ABRUPT_END	RESEP MASAKAN INDONESIA WARISAN SUKARNO 59	last non-empty line lacks terminal punctuation; next file starts mid-sentence
